PRODUCT,SALESYEAR,LIFECYCLE,STATE,RELEASE_YEAR,DISEASE_RESISTANCE,INSECT_RESISTANCE,PROTECTION,DROUGHT_TOLERANCE,BRITTLE_STALK,PLANT_HEIGHT,RELATIVE_MATURITY,UNITS
P14,2021,ESTABLISHED,Texas,2013,0,0,1,5,3,1,3,0
P27,2021,INTRODUCTION,Texas,2019,0,0,1,3,4,2,3,0.2
P54,2021,ESTABLISHED,Texas,2018,0,1,1,5,4,1,4,4.6
P67,2021,EXPANSION,Texas,2014,0,1,1,4,5,3,4,9.7
P110,2021,EXPANSION,Texas,2018,0,0,1,3,4,3,4,0.2
P117,2021,PHASEOUT,Texas,2018,0,0,1,3,4,4,4,1.1
P127,2021,EXPANSION,Texas,2013,0,0,1,2,3,3,4,0.6
P129,2021,ESTABLISHED,Texas,2014,0,0,0,2,3,3,4,0.4
P132,2021,INTRODUCTION,Texas,2019,0,0,1,2,3,2,4,0.6
P133,2021,INTRODUCTION,Texas,2019,0,1,1,2,3,2,4,2
P137,2021,ESTABLISHED,Texas,2017,0,0,1,5,4,2,4,0.7
P138,2021,ESTABLISHED,Texas,2017,0,1,1,5,4,2,4,3
P150,2021,EXPANSION,Texas,2012,0,0,0,1,2,5,4,7.5
P155,2021,INTRODUCTION,Texas,2019,0,0,1,2,4,3,4,0.6
P156,2021,ESTABLISHED,Texas,2016,0,0,1,2,5,2,4,0.5
P157,2021,EXPANSION,Texas,2018,0,0,1,2,5,2,4,0.5
P159,2021,EXPANSION,Texas,2017,0,0,1,2,5,2,4,1.1
P160,2021,ESTABLISHED,Texas,2018,0,1,1,2,5,2,4,4.4
P162,2021,PHASEOUT,Texas,2016,0,0,1,2,5,4,4,0.5
P163,2021,EXPANSION,Texas,2016,0,0,1,2,5,4,4,0.2
P169,2021,INTRODUCTION,Texas,2019,0,0,1,4,4,4,4,3.2
P173,2021,PHASEOUT,Texas,2009,0,0,0,4,5,3,4,0.1
P174,2021,PHASEOUT,Texas,2011,0,1,1,4,5,3,4,3.6
P176,2021,PHASEOUT,Texas,2013,0,1,1,2,3,3,4,3.9
P179,2021,PHASEOUT,Texas,2018,0,0,1,4,4,4,4,1.3
P181,2021,ESTABLISHED,Texas,2017,0,0,1,3,3,3,4,0.7
P182,2021,ESTABLISHED,Texas,2017,0,1,1,3,3,3,4,13.4
P188,2021,INTRODUCTION,Texas,2019,0,1,1,3,1,3,4,1.1
P192,2021,INTRODUCTION,Texas,2019,0,0,1,5,4,3,4,0.1
P196,2021,PHASEOUT,Texas,2018,0,1,1,2,5,3,4,3
P197,2021,EXPANSION,Texas,2018,0,0,1,2,5,3,4,0.3
P208,2021,INTRODUCTION,Texas,2019,0,0,1,4,4,4,4,0.1
P218,2021,ESTABLISHED,Texas,2016,0,0,1,4,3,5,5,0.7
P219,2021,EXPANSION,Texas,2016,0,0,1,4,3,5,5,0.4
P220,2021,EXPANSION,Texas,2016,0,1,1,4,3,5,5,0.1
P222,2021,PHASEOUT,Texas,2018,0,0,1,3,3,4,5,0.4
P223,2021,EXPANSION,Texas,2017,0,1,1,3,3,4,5,33.5
P224,2021,ESTABLISHED,Texas,2016,0,0,1,3,4,2,5,0.1
P226,2021,EXPANSION,Texas,2018,0,0,0,3,4,2,5,2.3
P227,2021,PHASEOUT,Texas,2016,0,1,1,3,4,2,5,1.5
P229,2021,PHASEOUT,Texas,2018,0,1,1,3,3,4,5,1.2
P230,2021,INTRODUCTION,Texas,2019,0,0,1,3,5,3,5,0
P231,2021,INTRODUCTION,Texas,2019,0,1,1,3,5,3,5,3
P234,2021,ESTABLISHED,Texas,2014,0,1,1,2,5,5,5,28.1
P14,2022,ESTABLISHED,Texas,2013,0,0,1,5,3,1,3,0.7
P27,2022,ESTABLISHED,Texas,2019,0,0,1,3,4,2,3,0.4
P52,2022,ESTABLISHED,Texas,2018,0,0,1,5,4,1,4,0.2
P54,2022,PHASEOUT,Texas,2018,0,1,1,5,4,1,4,4.4
P67,2022,PHASEOUT,Texas,2014,0,1,1,4,5,3,4,8.3
P77,2022,INTRODUCTION,Texas,2020,0,0,1,2,4,3,4,0.2
P82,2022,INTRODUCTION,Texas,2020,0,0,1,3,4,3,4,0.4
P93,2022,INTRODUCTION,Texas,2020,0,0,1,5,3,3,4,2
P117,2022,PHASEOUT,Texas,2018,0,0,1,3,4,4,4,0.1
P127,2022,PHASEOUT,Texas,2013,0,0,1,2,3,3,4,0
P129,2022,PHASEOUT,Texas,2014,0,0,0,2,3,3,4,0
P133,2022,EXPANSION,Texas,2019,0,1,1,2,3,2,4,1
P137,2022,EXPANSION,Texas,2017,0,0,1,5,4,2,4,0.8
P138,2022,PHASEOUT,Texas,2017,0,1,1,5,4,2,4,2.1
P150,2022,PHASEOUT,Texas,2012,0,0,0,1,2,5,4,4.7
P159,2022,EXPANSION,Texas,2017,0,0,1,2,5,2,4,1.1
P160,2022,PHASEOUT,Texas,2018,0,1,1,2,5,2,4,2.2
P169,2022,EXPANSION,Texas,2019,0,0,1,4,4,4,4,3.4
P177,2022,INTRODUCTION,Texas,2020,0,0,1,2,4,3,4,0
P179,2022,EXPANSION,Texas,2018,0,0,1,4,4,4,4,0.7
P182,2022,PHASEOUT,Texas,2017,0,1,1,3,3,3,4,9.7
P188,2022,EXPANSION,Texas,2019,0,1,1,3,1,3,4,0
P192,2022,EXPANSION,Texas,2019,0,0,1,5,4,3,4,0
P195,2022,INTRODUCTION,Texas,2020,0,0,1,2,5,3,4,0.4
P196,2022,PHASEOUT,Texas,2018,0,1,1,2,5,3,4,3.6
P199,2022,INTRODUCTION,Texas,2020,0,0,0,3,4,3,4,5.2
P201,2022,EXPANSION,Texas,2019,0,0,1,3,4,3,4,0.1
P205,2022,INTRODUCTION,Texas,2020,0,1,1,2,2,2,4,5.2
P208,2022,ESTABLISHED,Texas,2019,0,0,1,4,4,4,4,3.9
P210,2022,INTRODUCTION,Texas,2020,0,1,1,1,4,4,4,4.1
P221,2022,ESTABLISHED,Texas,2017,0,0,1,3,3,4,5,1
P223,2022,ESTABLISHED,Texas,2017,0,1,1,3,3,4,5,44.2
P226,2022,PHASEOUT,Texas,2018,0,0,0,3,4,2,5,1.8
P227,2022,PHASEOUT,Texas,2016,0,1,1,3,4,2,5,1
P231,2022,ESTABLISHED,Texas,2019,0,1,1,3,5,3,5,2.1
P234,2022,PHASEOUT,Texas,2014,0,1,1,2,5,5,5,31.1
P295,2022,INTRODUCTION,Texas,2020,0,0,1,3,3,2,3,0.8
P27,2023,ESTABLISHED,Texas,2019,0,0,1,3,4,2,3,1.5
P54,2023,PHASEOUT,Texas,2018,0,1,1,5,4,1,4,4.3
P67,2023,PHASEOUT,Texas,2014,0,1,1,4,5,3,4,0.7
P72,2023,INTRODUCTION,Texas,2020,0,0,1,3,4,4,4,1.4
P82,2023,INTRODUCTION,Texas,2020,0,0,1,3,4,3,4,0.1
